technique,time,sam_commit_name,pytorch_version,sam_model_type,batch_size,memory(MiB),memory(%),img_s(avg),batch_ms(avg)/batch_size,mIoU,use_compile,use_half,compress,epilogue_fusion_first,use_compile_decoder,use_nested_tensor,use_rel_pos,pad_input_image_batch,num_workers,num_batches,num_images,profile_path,memory_path
fp32,9.130827875932058,default,2.2.0a0+git247d5e1,vit_b,1,2789,3,11.172994476988208,89.50152101655384,0.5335529600818258,False,None,None,False,False,False,True,True,32,4952,4952,None,None
bf16,3.2467366178830463,codesign,2.2.0a0+git247d5e1,vit_b,1,1416,1,36.6325843224321,27.298101362388625,0.5425043933977183,False,torch.bfloat16,None,False,False,False,True,True,32,4952,4952,None,None
compile,3.601591928799947,codesign,2.2.0a0+git247d5e1,vit_b,1,1153,1,52.85462151096938,18.919821416041383,0.5418051883993791,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,4952,4952,None,None
SDPA,2.597082308928172,sdpa-decoder,2.2.0a0+git247d5e1,vit_b,1,1103,1,66.10655457748351,15.12709301507916,0.5362488262179187,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,4952,4952,None,None
Triton,2.4473638772964477,local-fork,2.2.0a0+git247d5e1,vit_b,1,1103,1,72.19392272579101,13.851581438485178,0.5214116301645766,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,4952,4952,None,None
int8,2.8552247206370036,local-fork,2.2.0a0+git247d5e1,vit_b,1,1022,1,69.14138904654389,14.463117009796118,0.5195240869810016,max-autotune,torch.bfloat16,dynamic_quant,False,False,False,True,True,32,4952,4952,None,None
sparse,0.20411169926325481,local-fork,2.2.0a0+git247d5e1,ERROR
sparse_fp16,0.19052796363830565,local-fork,2.2.0a0+git247d5e1,ERROR
sparse_int8,0.2063008944193522,local-fork,2.2.0a0+git247d5e1,ERROR
fp32,36.4745031118393,default,2.2.0a0+git247d5e1,vit_h,1,5758,7,2.5775495374444195,387.9653855232892,0.5841883587670912,False,None,None,False,False,False,True,True,32,4952,4952,None,None
bf16,7.877945248285929,codesign,2.2.0a0+git247d5e1,vit_h,1,2886,3,13.005496257895453,76.89056843124415,0.5809488725501619,False,torch.bfloat16,None,False,False,False,True,True,32,4952,4952,None,None
compile,8.055863789717357,codesign,2.2.0a0+git247d5e1,vit_h,1,2831,3,18.047946454250354,55.40796580568847,0.5813125233488726,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,4952,4952,None,None
SDPA,6.877597761154175,sdpa-decoder,2.2.0a0+git247d5e1,vit_h,1,2517,3,19.402173010007473,51.54061864535527,0.5810592120647887,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,4952,4952,None,None
Triton,6.637248412768046,local-fork,2.2.0a0+git247d5e1,vit_h,1,2517,3,20.129258749113628,49.678928194215494,0.5821220165834693,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,4952,4952,None,None
int8,7.1561567743619285,local-fork,2.2.0a0+git247d5e1,vit_h,1,2517,3,22.32508133946076,44.792669947967774,0.5835284732007362,max-autotune,torch.bfloat16,dynamic_quant,False,False,False,True,True,32,4952,4952,None,None
sparse,0.3637971838315328,local-fork,2.2.0a0+git247d5e1,ERROR
sparse_fp16,0.33598643938700357,local-fork,2.2.0a0+git247d5e1,ERROR
sparse_int8,0.3534079114596049,local-fork,2.2.0a0+git247d5e1,ERROR
fp32,0.4394788901011149,default,2.2.0a0+git247d5e1,ERROR
bf16,3.1867759307225545,codesign,2.2.0a0+git247d5e1,vit_b,32,39339,48,36.92026193720594,27.085398302449807,0.5425043933977183,False,torch.bfloat16,None,False,False,False,True,True,32,154,4928,None,None
compile,3.5047028779983522,codesign,2.2.0a0+git247d5e1,vit_b,32,31076,38,48.66653591816457,20.548000410005645,0.5417381511277017,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,154,4928,None,None
SDPA,2.73252542813619,sdpa-decoder,2.2.0a0+git247d5e1,vit_b,32,18127,22,61.20929141500075,16.337388930382666,0.5359710959619843,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,154,4928,None,None
Triton,2.52416250705719,local-fork,2.2.0a0+git247d5e1,vit_b,32,6223,7,73.90910256881807,13.530133166870513,0.5333739165892092,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,154,4928,None,None
NT,2.2023282408714295,local-fork,2.2.0a0+git247d5e1,vit_b,32,6963,8,88.86830375985406,11.25260590887689,0.5335277802095609,max-autotune,torch.bfloat16,None,False,False,True,True,True,32,154,4928,None,None
int8,2.3902917583783467,local-fork,2.2.0a0+git247d5e1,vit_b,32,6880,8,89.58744372007395,11.162278534530046,0.5334969295345798,max-autotune,torch.bfloat16,dynamic_quant,False,False,True,True,True,32,154,4928,None,None
sparse,2.1884260455767315,local-fork,2.2.0a0+git247d5e1,vit_b,32,7055,8,92.20883039838982,10.844948316549326,0.4783894396727576,max-autotune,torch.bfloat16,sparse,False,False,True,True,True,32,154,4928,None,None
sparse_fp16,2.8932383338610332,local-fork,2.2.0a0+git247d5e1,vit_b,32,7055,8,88.27791064021625,11.327862120293952,0.4812975928766882,max-autotune,torch.float16,sparse,False,False,True,True,True,32,154,4928,None,None
sparse_int8,2.670110515753428,local-fork,2.2.0a0+git247d5e1,vit_b,32,6849,8,88.24268426076186,11.332384190002045,0.47122353159388314,max-autotune,torch.bfloat16,int4_dynamic_quant_sparse,False,False,True,True,True,32,154,4928,None,None
fp32,0.5723465204238891,default,2.2.0a0+git247d5e1,ERROR
bf16,7.766778389612834,codesign,2.2.0a0+git247d5e1,vit_h,32,53841,66,13.463315069576202,74.27591160365513,0.5806475440744183,False,torch.bfloat16,None,False,False,False,True,True,32,154,4928,None,None
compile,7.839279635747274,codesign,2.2.0a0+git247d5e1,vit_h,32,44923,55,18.57921492412999,53.82358749191482,0.5808611446535332,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,154,4928,None,None
