technique,time,sam_commit_name,pytorch_version,sam_model_type,batch_size,memory(MiB),memory(%),img_s(avg),batch_ms(avg)/batch_size,mIoU,use_compile,use_half,compress,epilogue_fusion_first,use_compile_decoder,use_nested_tensor,use_rel_pos,pad_input_image_batch,num_workers,num_batches,num_images,profile_path,memory_path
fp32,1.9885383725166321,default,2.2.0.dev20231023+cu121,vit_b,1,2783,6,9.051335961088263,110.4809283733368,0.5559115116922998,False,None,None,False,False,False,True,True,32,160,160,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/fp32.json.gz,None
fp32,0.4134101629257202,default,2.2.0.dev20231023+cu121,vit_b,1,2782,6,10.040205297463972,99.59955701828002,0.5559115116922998,False,None,None,False,False,False,True,True,32,160,160,None,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/fp32.pickle
fp16,1.7782678047815959,codesign,2.2.0.dev20231023+cu121,vit_b,1,1410,3,21.766720995228816,45.94169237613678,0.5618803377296547,False,torch.bfloat16,None,False,False,False,True,True,32,160,160,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/fp16.json.gz,None
fp16,0.21479106346766155,codesign,2.2.0.dev20231023+cu121,vit_b,1,1410,3,31.73784394887488,31.508126437664032,0.5618803377296547,False,torch.bfloat16,None,False,False,False,True,True,32,160,160,None,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/fp16.pickle
compile,1.3394956866900125,codesign,2.2.0.dev20231023+cu121,vit_b,1,1153,2,43.85927512932342,22.80019441843033,0.5550743401480545,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,160,160,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/compile.json.gz,None
compile,0.5646654566129049,codesign,2.2.0.dev20231023+cu121,vit_b,1,1162,2,43.516935365511166,22.97955937385559,0.5564036829656428,max-autotune-no-cudagraphs,torch.bfloat16,None,False,False,False,True,True,32,160,160,None,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/compile.pickle
SDPA,1.1891773303349813,sdpa-decoder,2.2.0.dev20231023+cu121,vit_b,1,748,1,55.35586105037381,18.064934426546095,0.5614236224920225,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,160,160,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/SDPA.json.gz,None
SDPA,0.5113891084988912,sdpa-decoder,2.2.0.dev20231023+cu121,vit_b,1,757,1,54.92175296262878,18.207721823453902,0.5614236224920225,max-autotune-no-cudagraphs,torch.bfloat16,None,False,False,False,True,True,32,160,160,None,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/SDPA.pickle
Triton,1.2780182600021361,local-fork,2.2.0.dev20231023+cu121,vit_b,1,748,1,59.1175972061656,16.915437150001527,0.5540125116771486,max-autotune,torch.bfloat16,None,False,False,False,True,True,32,160,160,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/Triton.json.gz,None
Triton,0.5122835993766784,local-fork,2.2.0.dev20231023+cu121,vit_b,1,751,1,60.00569587176124,16.66508463025093,0.5459915277007784,max-autotune-no-cudagraphs,torch.bfloat16,None,False,False,False,True,True,32,160,160,None,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/Triton.pickle
int8,1.700962746143341,local-fork,2.2.0.dev20231023+cu121,vit_b,1,741,1,18.424984633121493,54.27412939071655,0.5433735283344956,max-autotune,torch.bfloat16,dynamic_quant,False,False,True,True,True,32,160,160,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/int8.json.gz,None
int8,0.7775006572405497,local-fork,2.2.0.dev20231023+cu121,vit_b,1,745,1,17.07518917038643,58.56450490951538,0.5433076547619247,max-autotune-no-cudagraphs,torch.bfloat16,dynamic_quant,False,False,True,True,True,32,160,160,None,/scratch/cpuhrsch/saf/experiments_data/traces_bs1/int8.pickle
