technique,time,sam_commit_name,pytorch_version,sam_model_type,batch_size,memory(MiB),memory(%),img_s(avg),batch_ms(avg)/batch_size,mIoU,use_compile,use_half,compress,epilogue_fusion_first,use_half_decoder,use_compile_decoder,use_nested_tensor,use_rel_pos,pad_input_image_batch,num_workers,num_batches,num_images,profile_path,memory_path,use_triton_sdpa_plus
fp32,8.53124045530955,default,2.2.0a0+git736e8fa,vit_b,1,2789,3,11.101996405457097,90.0738897292795,0.5335529600818258,False,False,None,False,False,False,False,True,True,32,4952,4952,None,None,False
fp16,2.8642049630482993,codesign,2.2.0a0+git736e8fa,vit_b,1,1416,1,35.178005615668376,28.426853157206768,0.5339818255844652,False,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
compile,2.6148238738377887,codesign,2.2.0a0+git736e8fa,vit_b,1,1153,1,51.5297693115123,19.40625803998291,0.5344895120289322,max-autotune,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
SDPA,2.213360369205475,sdpa-decoder,2.2.0a0+git736e8fa,vit_b,1,1103,1,62.825194006927916,15.91718124881122,0.533610547541398,max-autotune,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
NT,2.3815876801808673,local-fork,2.2.0a0+git736e8fa,vit_b,1,1400,1,61.63519191567771,16.224497221783405,0.5333130293961481,max-autotune,True,None,False,True,False,True,True,True,32,4952,4952,None,None,False
int8,25.05104818344116,local-fork,2.2.0a0+git736e8fa,vit_b,1,1319,1,59.99207250103255,16.66886904070181,0.5335476841143909,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,4952,4952,None,None,False
Triton,5.053841865062713,local-fork,2.2.0a0+git736e8fa,vit_b,1,1319,1,71.1003148273016,14.064635331488194,0.5195236578771921,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,4952,4952,None,None,True
sparse,0.17981170813242595,local-fork,2.2.0a0+git736e8fa,ERROR
fp32,20.888643777370454,default,2.2.0a0+git736e8fa,vit_l,1,4420,5,4.442152752558814,225.1160767544452,0.5823433052496695,False,False,None,False,False,False,False,True,True,32,4952,4952,None,None,False
fp16,5.362201201915741,codesign,2.2.0a0+git736e8fa,vit_l,1,2224,2,18.15260339503805,55.08851696023648,0.5813899436372664,False,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
compile,4.798646899064382,codesign,2.2.0a0+git736e8fa,vit_l,1,1877,2,26.54029438241952,37.678557200270056,0.5812369078244845,max-autotune,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
SDPA,4.170527851581573,sdpa-decoder,2.2.0a0+git736e8fa,vit_l,1,1513,1,30.54654291822061,32.73692878036006,0.5814331299580414,max-autotune,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
NT,4.353355654080709,local-fork,2.2.0a0+git736e8fa,vit_l,1,1810,2,30.148128215161016,33.169555100177526,0.5814369909996601,max-autotune,True,None,False,True,False,True,True,True,32,4952,4952,None,None,False
int8,15.558470594882966,local-fork,2.2.0a0+git736e8fa,vit_l,1,1545,1,31.734795099851414,31.511153510005872,0.579184185584639,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,4952,4952,None,None,False
Triton,7.145969259738922,local-fork,2.2.0a0+git736e8fa,vit_l,1,1545,1,36.279915899777464,27.56345970488134,0.560971719164356,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,4952,4952,None,None,True
sparse,0.28581699132919314,local-fork,2.2.0a0+git736e8fa,ERROR
fp32,35.92046134869258,default,2.2.0a0+git736e8fa,vit_h,1,5758,7,2.5698669723651846,389.1252001575969,0.5841883587670912,False,False,None,False,False,False,False,True,True,32,4952,4952,None,None,False
fp16,7.767531243960063,codesign,2.2.0a0+git736e8fa,vit_h,1,2886,3,12.379668137254347,80.7776096186846,0.21823054825986252,False,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
compile,6.961858757336935,codesign,2.2.0a0+git736e8fa,vit_h,1,2580,3,17.424216423397713,57.39138998854334,0.5837971962994857,max-autotune,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
SDPA,6.477468407154083,sdpa-decoder,2.2.0a0+git736e8fa,vit_h,1,2517,3,18.61222525615231,53.72812687561085,0.5837852158306952,max-autotune,True,None,False,True,False,False,True,True,32,4952,4952,None,None,False
NT,6.665131227175395,local-fork,2.2.0a0+git736e8fa,vit_h,1,2517,3,18.407254425679643,54.326407234580145,0.5837091336708939,max-autotune,True,None,False,True,False,True,True,True,32,4952,4952,None,None,False
int8,4.070706379413605,local-fork,2.2.0a0+git736e8fa,ERROR
Triton,2.2284859816233316,local-fork,2.2.0a0+git736e8fa,ERROR
sparse,0.32324631214141847,local-fork,2.2.0a0+git736e8fa,ERROR
fp32,0.6056428035100301,default,2.2.0a0+git736e8fa,ERROR
fp16,3.2239867210388184,codesign,2.2.0a0+git736e8fa,vit_b,32,39339,48,35.12509147307876,28.469676748498692,0.5342724095613883,False,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
compile,3.0632850607236226,codesign,2.2.0a0+git736e8fa,vit_b,32,31076,38,48.8990015076973,20.4503153268393,0.5341064946904616,max-autotune,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
SDPA,2.589450991153717,sdpa-decoder,2.2.0a0+git736e8fa,vit_b,32,18127,22,59.450312758529314,16.820769371924463,0.5336233759150143,max-autotune,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
NT,2.746827042102814,local-fork,2.2.0a0+git736e8fa,vit_b,32,18351,22,65.2578515968582,15.323826566919104,0.5331688589833609,max-autotune,True,None,False,True,False,True,True,True,32,154,4928,None,None,False
int8,2.8979994813601175,local-fork,2.2.0a0+git736e8fa,vit_b,32,17282,21,65.76794876819356,15.204974744227025,0.5336570280196118,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,154,4928,None,None,False
Triton,2.618524932861328,local-fork,2.2.0a0+git736e8fa,vit_b,32,7997,9,90.10182935377138,11.098553793770927,0.532031981637108,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,154,4928,None,None,True
sparse,2.6286734700202943,local-fork,2.2.0a0+git736e8fa,vit_b,32,7967,9,88.97011764242905,11.239728871878091,0.4740420866242448,max-autotune,True,int4_dynamic_quant_sparse,False,True,False,True,True,True,32,154,4928,None,None,True
fp32,0.6914381464322408,default,2.2.0a0+git736e8fa,ERROR
fp16,5.567822225888571,codesign,2.2.0a0+git736e8fa,vit_l,32,52677,64,18.75916233200789,53.30728431800743,0.5816266856260814,False,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
compile,5.081730202833811,codesign,2.2.0a0+git736e8fa,vit_l,32,41686,51,26.740664933191134,37.39622789853579,0.5814686456807443,max-autotune,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
SDPA,4.534753048419953,sdpa-decoder,2.2.0a0+git736e8fa,vit_l,32,24422,30,31.31269397715352,31.935929905284535,0.5814751256156048,max-autotune,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
NT,4.585572914282481,local-fork,2.2.0a0+git736e8fa,vit_l,32,24646,30,32.07285013055667,31.179018887606535,0.5814254192780661,max-autotune,True,None,False,True,False,True,True,True,32,154,4928,None,None,False
int8,4.7836929361025495,local-fork,2.2.0a0+git736e8fa,vit_l,32,23069,28,35.062706687246255,28.52033098641928,0.5832803746841497,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,154,4928,None,None,False
Triton,4.42957466840744,local-fork,2.2.0a0+git736e8fa,vit_l,32,8224,10,42.49340696929024,23.53306245184564,0.5849653469539171,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,154,4928,None,None,True
sparse,4.549459032217661,local-fork,2.2.0a0+git736e8fa,vit_l,32,8725,10,42.64091490269249,23.45165440943334,0.4963431871923511,max-autotune,True,int4_dynamic_quant_sparse,False,True,False,True,True,True,32,154,4928,None,None,True
fp32,0.7448331634203593,default,2.2.0a0+git736e8fa,ERROR
fp16,7.7517149726549786,codesign,2.2.0a0+git736e8fa,vit_h,32,53841,66,13.067046417310863,76.52838813484489,0.21824710260040048,False,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
compile,7.373304033279419,codesign,2.2.0a0+git736e8fa,vit_h,32,44923,55,17.068601821129935,58.58710692764877,0.5836947816740391,max-autotune,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
SDPA,6.960717948277791,sdpa-decoder,2.2.0a0+git736e8fa,vit_h,32,27276,33,18.087212222468054,55.28767991994883,0.5837046221345306,max-autotune,True,None,False,True,False,False,True,True,32,154,4928,None,None,False
NT,6.9376779198646545,local-fork,2.2.0a0+git736e8fa,vit_h,32,27500,33,18.737886565550284,53.36781159933511,0.583734622489212,max-autotune,True,None,False,True,False,True,True,True,32,154,4928,None,None,False
int8,20.66215205192566,local-fork,2.2.0a0+git736e8fa,vit_h,32,25057,30,22.205761000113984,45.033358685382,0.5839725608760651,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,154,4928,None,None,False
Triton,8.303137850761413,local-fork,2.2.0a0+git736e8fa,vit_h,32,11300,13,24.610929151091504,40.63235458770355,0.5851239602013488,max-autotune,True,dynamic_quant,False,True,False,True,True,True,32,154,4928,None,None,True
sparse,6.719014024734497,local-fork,2.2.0a0+git736e8fa,vit_h,32,13345,16,24.86270468776752,40.22088556165819,0.5154763957245986,max-autotune,True,int4_dynamic_quant_sparse,False,True,False,True,True,True,32,154,4928,None,None,True
fp32,0.5161450743675232,default,2.2.0a0+git736e8fa,ERROR
